Character,dialogue,season,chapter,to,ProD
Luwin, We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,1,1,Catelyn Stark,"Luwin,Catelyn Stark, We've brought up eight barrels of ale from the cellar. Perhaps we'll find out."
Catelyn Stark," In any case, candles.",1,1,Jon Snow,"Catelyn Stark,Jon Snow, In any case, candles."
Jon Snow, Why's your mother so deadset on us getting pretty for the king?,1,1,Theon Greyjoy,"Jon Snow,Theon Greyjoy, Why's your mother so deadset on us getting pretty for the king?"
Theon Greyjoy," It's for the queen, I bet. I hear she's ",1,1,Robb Stark,"Theon Greyjoy,Robb Stark, It's for the queen, I bet. I hear she's "
Robb Stark, I hear the prince is a right royal prick.,1,1,Theon Greyjoy,"Robb Stark,Theon Greyjoy, I hear the prince is a right royal prick."
Theon Greyjoy, Think of all those southern girls he gets to stab with his right royal prick.,1,1,Robb Stark,"Theon Greyjoy,Robb Stark, Think of all those southern girls he gets to stab with his right royal prick."
Robb Stark," Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",1,1,Catelyn Stark,"Robb Stark,Catelyn Stark, Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair."
Catelyn Stark," Gods, but they grow fast.  Brandon!",1,1,Brann Stark,"Catelyn Stark,Brann Stark, Gods, but they grow fast.  Brandon!"
Brann Stark, I saw the king! He's got hundreds of people!,1,1,Catelyn Stark,"Brann Stark,Catelyn Stark, I saw the king! He's got hundreds of people!"
Catelyn Stark, How many times have I told you: No climbing!,1,1,Brann Stark,"Catelyn Stark,Brann Stark, How many times have I told you: No climbing!"
Brann Stark, But he's coming right now! Down our road!,1,1,Catelyn Stark,"Brann Stark,Catelyn Stark, But he's coming right now! Down our road!"
Catelyn Stark, I want you to promise me: No more climbing.,1,1,Brann Stark,"Catelyn Stark,Brann Stark, I want you to promise me: No more climbing."
Brann Stark, I promise.,1,1,Catelyn Stark,"Brann Stark,Catelyn Stark, I promise."
Catelyn Stark, D'you know what?,1,1,Brann Stark,"Catelyn Stark,Brann Stark, D'you know what?"
Brann Stark, What?,1,1,Catelyn Stark,"Brann Stark,Catelyn Stark, What?"
Catelyn Stark, You always look at your feet before you lie. Run and find your father. Tell him the king is close.,1,1,Catelyn Stark,"Catelyn Stark,Catelyn Stark, You always look at your feet before you lie. Run and find your father. Tell him the king is close."
Catelyn Stark," Where's Arya? Sansa, where's your sister?",1,1,Ned Stark,"Catelyn Stark,Ned Stark, Where's Arya? Sansa, where's your sister?"
Ned Stark," Hey,, hey, hey, hey. What are you doing with that on? ",1,1,Arya Stark,"Ned Stark,Arya Stark, Hey,, hey, hey, hey. What are you doing with that on? "
Arya Stark, Move!,1,1,Ned Stark,"Arya Stark,Ned Stark, Move!"
Ned Stark, Your Grace.,1,1,Robert Baratheon,"Ned Stark,Robert Baratheon, Your Grace."
Robert Baratheon, You've got fat.,1,1,Robert Baratheon,"Robert Baratheon,Robert Baratheon, You've got fat."
Robert Baratheon, Cat!,1,1,Catelyn Stark,"Robert Baratheon,Catelyn Stark, Cat!"
Catelyn Stark, Your Grace.,1,1,Robert Baratheon,"Catelyn Stark,Robert Baratheon, Your Grace."
Robert Baratheon, Nine years. Why haven't I seen you? Where the hell have you been?,1,1,Ned Stark,"Robert Baratheon,Ned Stark, Nine years. Why haven't I seen you? Where the hell have you been?"
Ned Stark," Guarding the North for you, Your Grace. Winterfell is yours.",1,1,Arya Stark,"Ned Stark,Arya Stark, Guarding the North for you, Your Grace. Winterfell is yours."
Arya Stark, Where's the Imp?,1,1,Sansa Stark,"Arya Stark,Sansa Stark, Where's the Imp?"
Sansa Stark, Will you shut up?,1,1,Robert Baratheon,"Sansa Stark,Robert Baratheon, Will you shut up?"
Robert Baratheon," Who have we here? You must be Robb.  My, you're a pretty one.  Your name is?",1,1,Arya Stark,"Robert Baratheon,Arya Stark, Who have we here? You must be Robb.  My, you're a pretty one.  Your name is?"
Arya Stark, Arya.,1,1,Arya Stark,"Arya Stark,Arya Stark, Arya."
Arya Stark, That's Jaime Lannister. The queen's twin brother.,1,1,Sansa Stark,"Arya Stark,Sansa Stark, That's Jaime Lannister. The queen's twin brother."
Sansa Stark, Would you please shut up.,1,1,Ned Stark,"Sansa Stark,Ned Stark, Would you please shut up."
Ned Stark, My queen.,1,1,Catelyn Stark,"Ned Stark,Catelyn Stark, My queen."
Catelyn Stark, My queen.,1,1,Robert Baratheon,"Catelyn Stark,Robert Baratheon, My queen."
Robert Baratheon, Take me to your crypt. I want to pay my respects.,1,1,Cersei Lannister,"Robert Baratheon,Cersei Lannister, Take me to your crypt. I want to pay my respects."
Cersei Lannister," We've been riding for a month, my love. Surely the dead can wait.",1,1,Robert Baratheon,"Cersei Lannister,Robert Baratheon, We've been riding for a month, my love. Surely the dead can wait."
Robert Baratheon, Ned.,1,1,Arya Stark,"Robert Baratheon,Arya Stark, Ned."
Arya Stark, Where's the Imp?,1,1,Cersei Lannister,"Arya Stark,Cersei Lannister, Where's the Imp?"
Cersei Lannister, Where is our brother? Go find the little beast.,1,1,Ned Stark,"Cersei Lannister,Ned Stark, Where is our brother? Go find the little beast."
Ned Stark, Tell me about Jon Arryn.,1,1,Robert Baratheon,"Ned Stark,Robert Baratheon, Tell me about Jon Arryn."
Robert Baratheon," One minute he was fine, and then ... Burned right through him, whatever it was. I loved that man.",1,1,Ned Stark,"Robert Baratheon,Ned Stark, One minute he was fine, and then ... Burned right through him, whatever it was. I loved that man."
Ned Stark, We both did.,1,1,Robert Baratheon,"Ned Stark,Robert Baratheon, We both did."
Robert Baratheon," He never had to teach you much, but me ... You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",1,1,Ned Stark,"Robert Baratheon,Ned Stark, He never had to teach you much, but me ... You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what."
Ned Stark, Aye.,1,1,Robert Baratheon,"Ned Stark,Robert Baratheon, Aye."
Robert Baratheon," Don't look at me like that. Not his fault I didn't listen.  I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",1,1,Ned Stark,"Robert Baratheon,Ned Stark, Don't look at me like that. Not his fault I didn't listen.  I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king."
Ned Stark, I'm not worthy of the honor.,1,1,Robert Baratheon,"Ned Stark,Robert Baratheon, I'm not worthy of the honor."
Robert Baratheon," I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",1,1,Tyrion Lannister,"Robert Baratheon,Tyrion Lannister, I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses."
Tyrion Lannister, Mmh. It is true what they say about the Northern girls.,1,1,Roose Bolton,"Tyrion Lannister,Roose Bolton, Mmh. It is true what they say about the Northern girls."
Roose Bolton, Did you hear the king's in Winterfell?,1,1,Tyrion Lannister,"Roose Bolton,Tyrion Lannister, Did you hear the king's in Winterfell?"
Tyrion Lannister, I did hear something about that.,1,1,Roose Bolton,"Tyrion Lannister,Roose Bolton, I did hear something about that."
Roose Bolton, And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,1,1,Tyrion Lannister,"Roose Bolton,Tyrion Lannister, And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms."
Tyrion Lannister, And the other brother?,1,1,Roose Bolton,"Tyrion Lannister,Roose Bolton, And the other brother?"
Roose Bolton, The queen has two brothers?,1,1,Tyrion Lannister,"Roose Bolton,Tyrion Lannister, The queen has two brothers?"
Tyrion Lannister, There's the pretty one. And there's the clever one.,1,1,Roose Bolton,"Tyrion Lannister,Roose Bolton, There's the pretty one. And there's the clever one."
Roose Bolton, I hear they call him the Imp.,1,1,Tyrion Lannister,"Roose Bolton,Tyrion Lannister, I hear they call him the Imp."
Tyrion Lannister, I hear he hates that nickname.,1,1,Roose Bolton,"Tyrion Lannister,Roose Bolton, I hear he hates that nickname."
Roose Bolton, Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,1,1,Tyrion Lannister,"Roose Bolton,Tyrion Lannister, Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions."
Tyrion Lannister, Clever girl.,1,1,Roose Bolton,"Tyrion Lannister,Roose Bolton, Clever girl."
Roose Bolton," We've been expecting you, Lord Tyrion.",1,1,Tyrion Lannister,"Roose Bolton,Tyrion Lannister, We've been expecting you, Lord Tyrion."
Tyrion Lannister, Have you?,1,1,Tyrion Lannister,"Tyrion Lannister,Tyrion Lannister, Have you?"
Tyrion Lannister, The gods gave me one blessing.,1,1,Jaime Lannister,"Tyrion Lannister,Jaime Lannister, The gods gave me one blessing."
Jaime Lannister, Don't get up.,1,1,Roose Bolton,"Jaime Lannister,Roose Bolton, Don't get up."
Roose Bolton, M'lord.,1,1,Tyrion Lannister,"Roose Bolton,Tyrion Lannister, M'lord."
Tyrion Lannister," Should I explain to you the meaning of a closed door in a whorehouse, brother?",1,1,Jaime Lannister,"Tyrion Lannister,Jaime Lannister, Should I explain to you the meaning of a closed door in a whorehouse, brother?"
Jaime Lannister," You've much to teach me, no doubt. But our sister craves your attention.",1,1,Tyrion Lannister,"Jaime Lannister,Tyrion Lannister, You've much to teach me, no doubt. But our sister craves your attention."
Tyrion Lannister," She has odd cravings, our sister.",1,1,Jaime Lannister,"Tyrion Lannister,Jaime Lannister, She has odd cravings, our sister."
Jaime Lannister," A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",1,1,Tyrion Lannister,"Jaime Lannister,Tyrion Lannister, A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people."
Tyrion Lannister," I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",1,1,Jaime Lannister,"Tyrion Lannister,Jaime Lannister, I'm sorry, I've begun the feast a bit early. And this is the first of many courses."
Jaime Lannister," I thought you might say that. But since we're short on time,  Come on, girls. See you at sundown.",1,1,Tyrion Lannister,"Jaime Lannister,Tyrion Lannister, I thought you might say that. But since we're short on time,  Come on, girls. See you at sundown."
Tyrion Lannister, Close the door!,1,1,Robert Baratheon,"Tyrion Lannister,Robert Baratheon, Close the door!"
Robert Baratheon, Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,1,1,Ned Stark,"Robert Baratheon,Ned Stark, Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her."
Ned Stark, She was my sister. This is where she belongs.,1,1,Robert Baratheon,"Ned Stark,Robert Baratheon, She was my sister. This is where she belongs."
Robert Baratheon, She belonged with me.,1,1,Robert Baratheon,"Robert Baratheon,Robert Baratheon, She belonged with me."
Robert Baratheon," In my dreams, I kill him every night.",1,1,Ned Stark,"Robert Baratheon,Ned Stark, In my dreams, I kill him every night."
Ned Stark," It's done, Your Grace. The Targaryens are gone.",1,1,Robert Baratheon,"Ned Stark,Robert Baratheon, It's done, Your Grace. The Targaryens are gone."
Robert Baratheon, Not all of them.,1,1,Viserys Targaryen,"Robert Baratheon,Viserys Targaryen, Not all of them."
Viserys Targaryen, Daenerys!,1,1,Viserys Targaryen,"Viserys Targaryen,Viserys Targaryen, Daenerys!"
Viserys Targaryen, Daenerys! There's our bride to be! Look  a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,1,1,Daenerys Targaryen,"Viserys Targaryen,Daenerys Targaryen, Daenerys! There's our bride to be! Look  a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?"
Daenerys Targaryen, We've been his guests for over a year and he's never asked us for anything.,1,1,Viserys Targaryen,"Daenerys Targaryen,Viserys Targaryen, We've been his guests for over a year and he's never asked us for anything."
Viserys Targaryen," Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see.  You have a woman's body now.  I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",1,1,Daenerys Targaryen,"Viserys Targaryen,Daenerys Targaryen, Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see.  You have a woman's body now.  I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?"
Daenerys Targaryen, No.,1,1,Viserys Targaryen,"Daenerys Targaryen,Viserys Targaryen, No."
Viserys Targaryen," When they write the history of my reign, sweet sister, they will say it began today.",1,1,Maid,"Viserys Targaryen,Maid, When they write the history of my reign, sweet sister, they will say it began today."
Maid," It's too hot, my lady.",1,1,Viserys Targaryen,"Maid,Viserys Targaryen, It's too hot, my lady."
Viserys Targaryen, Where is he?,1,1,Illyrio,"Viserys Targaryen,Illyrio, Where is he?"
Illyrio, The Dothraki are not known for their punctuality.,1,1,Illyrio,"Illyrio,Illyrio, The Dothraki are not known for their punctuality."
Illyrio,"  May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",1,1,Illyrio,"Illyrio,Illyrio,  May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen."
Illyrio," Come forward, my dear.",1,1,Viserys Targaryen,"Illyrio,Viserys Targaryen, Come forward, my dear."
Viserys Targaryen, Where's he going?,1,1,Illyrio,"Viserys Targaryen,Illyrio, Where's he going?"
Illyrio, The ceremony is over.,1,1,Viserys Targaryen,"Illyrio,Viserys Targaryen, The ceremony is over."
Viserys Targaryen, But he didn't say anything. Did he like her?,1,1,Illyrio,"Viserys Targaryen,Illyrio, But he didn't say anything. Did he like her?"
